ETER_ID,English_Institution_Name,Institution_Name,Reference_year,Country_Code,Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Student_fees_funding_(EURO),Total_third_party_funding_(EURO),Personnel_expenditure_(EURO),R&D_Expenditure_(EURO),Total_students_enrolled_ISCED_5_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Name,Overall SCORE,AR SCORE,ER SCORE,FSR SCORE,CPF SCORE,IFR SCORE,ISR SCORE,EO SCORE,SUS SCORE,Rank,Size,Focus,Research,Status,QS_match_name,graduation_rate
AT0001,University of Vienna,Universität Wien,2020,AT,Vienna,633602882.27,513161003.37,17562705.53,79697760.09,439550842.8299999,0.0,76211.139521108,9933.708235294,400.0,University of Vienna,61.9,82.3,46.4,31.0,22.2,100.0,96.6,92.8,71.8,152,XL,FC,VH,Public,,0.1303445703307282
AT0005,Vienna University of Technology,Technische Universität Wien,2020,AT,Vienna,392999305.28,283851076.37,8083870.9,88175963.44999999,243943169.34,0.0,22254.012227124,2928.833333333,263.0,Vienna University of Technology,55.8,47.6,56.3,18.5,71.1,91.8,95.9,29.1,59.0,197,M,FO,VH,Public,,0.13160922639213937
AT0006,Graz University of Technology,Technische Universität Graz,2020,AT,Graz,264460185.67,169226710.43,2632317.16,77641793.62,172114706.29999998,0.0,11565.474837797,1707.1776,,Graz University of Technology,36.0,21.9,22.1,99.2,18.8,86.6,71.3,15.2,42.6,427,M,FO,VH,Public,,0.14760981489672967
AT0012,University of Klagenfurt,Universität Klagenfurt,2020,AT,Klagenfurt,80265912.14,69674818.06,1293229.18,8038358.600000001,64117278.52,0.0,7362.486276309,1070.978741726,50.0,University of Klagenfurt,25.1,7.2,5.8,57.4,16.4,98.2,94.8,13.6,36.3,697,S,CO,VH,Public,,0.14546427681260257
BE0056,KU Leuven,Katholieke Universiteit Leuven,2020,BE,Leuven,1150651488.0,450005253.0,49729362.0,558454158.0,670991000.0,0.0,49179.0,15527.0,846.0,KU Leuven,79.7,93.0,63.5,9.6,94.7,95.8,65.1,83.5,94.7,60,XL,FC,VH,Public,,0.3157241912198296
BE0058,Hasselt University,Universiteit Hasselt,2020,BE,Diepenbeek,123793642.27,68650423.55,4018507.82,38096736.64,76321000.0,0.0,4416.0,1427.0,74.0,Hasselt University,28.3,8.8,5.2,85.7,22.8,78.5,41.1,6.6,62.7,597,M,FC,HI,Public,,0.323143115942029
BE0059,University of Antwerp,Universiteit Antwerpen,2020,BE,Antwerp,327425122.0,168510105.0,17360418.0,118116061.0,224695000.0,0.0,17099.0,4743.0,256.0,University of Antwerp,47.4,35.0,18.8,42.8,57.7,96.4,45.5,60.3,80.6,280,L,FC,VH,Public,,0.2773846423767472
BE0060,Ghent University,Universiteit Gent,2020,BE,Gent,836062257.0,345780616.0,36896776.0,368850118.0,479788000.0,0.0,40086.0,11950.0,660.0,Ghent University,60.8,68.2,39.1,84.5,32.4,83.4,33.8,84.9,94.0,162,XL,FC,VH,Public,,0.29810906550915534
CY0001,University of Cyprus,Πανεπιστήμιο Κύπρου,2020,CY,Nicosia,113939661.0,0.0,20094611.0,22054376.0,58784739.0,43811000.0,6261.0,1439.0,45.0,University of Cyprus,34.2,14.6,10.8,10.3,62.3,94.3,42.2,54.6,52.9,452,M,CO,VH,Public,,0.2298354895384124
CY0003,Cyprus University of Technology,Τεχνολογικό Πανεπιστήμιο Κύπρου,2020,CY,Limassol,49563332.0,0.0,7337583.0,6338394.0,30886334.0,10785000.0,2395.0,606.0,41.0,Cyprus University of Technology,25.7,8.1,4.9,49.3,39.8,68.1,42.0,11.3,49.6,686,S,CO,VH,Public,,0.253027139874739
DE0022,Technical University of Munich,Technische Universität München,2020,DE,Munich,1057284200.0,0.0,6143492.0,347114566.0,600059361.0,0.0,41746.0,8625.0,1110.0,Technical University of Munich,90.2,92.0,99.7,70.5,92.6,86.3,98.9,57.3,87.8,22,XL,FO,VH,Public,,0.20660662099362814
DE0079,University of Münster,Westfälische Wilhelms-Universität Münster,2020,DE,Münster,508326505.0,0.0,916506.0,99442721.0,328072422.0,0.0,40481.0,6876.0,770.0,University of Münster,41.5,42.3,41.5,79.6,15.5,35.6,8.4,45.3,74.6,350,L,FC,VH,Public,,0.16985746399545465
DE0094,Technische Universität Dresden,Technische Universität Dresden,2020,DE,Dresden,612909918.0,0.0,761532.0,250676515.0,408596357.0,0.0,27737.0,4368.0,733.0,Technische Universität Dresden,54.3,47.2,49.2,74.9,58.6,40.4,42.0,12.5,87.9,218,L,FC,VH,Public,,0.15747917943541118
DE0096,Technische Universität Bergakademie Freiberg,Technische Universität Bergakademie Freiberg,2020,DE,Freiberg,180667189.0,0.0,318447.0,54422820.0,94649504.0,0.0,3482.0,612.0,89.0,Technische Universität Bergakademie Freiberg,32.8,7.4,6.4,10.1,90.9,59.7,100.0,1.4,32.9,487,S,FO,VH,,,0.17576105686387133
DK0001,University of Copenhagen,Københavns Universitet,2020,DK,Copenhagen,1217246116.2834375,673964878.8602399,11679321.72466529,441035926.05510986,728772638.2442113,685908615.2772933,37060.0,9767.0,630.0,University of Copenhagen,68.4,85.5,41.7,99.6,36.6,87.3,26.5,94.4,76.3,101,XL,FC,VH,Public,,0.2635456017269293
DK0002,Aarhus University,Aarhus Universitet,2020,DK,Aarhus,898304714.1208982,529791124.4667436,10747632.207346192,292141879.7456467,608125352.1504655,468729038.6627673,32940.0,9696.0,427.0,Aarhus University,64.3,68.3,41.7,42.4,74.1,96.7,25.5,79.4,73.2,131,L,FC,VH,Public,,0.2943533697632058
DK0003,University of Southern Denmark,Syddansk Universitet,2020,DK,Odense,429287515.7629256,286438786.1876526,10782243.56738483,111158943.95106114,292789836.602184,190872259.9339969,21452.0,6131.0,199.0,University of Southern Denmark,45.1,29.2,24.9,31.9,68.4,91.7,46.4,27.0,85.0,303,L,CO,VH,Public,,0.2858008577288831
DK0005,Aalborg University,Aalborg Universitet,2020,DK,Aalborg,402530117.249336,278264065.89573663,9796356.416516865,84765769.6332269,258087252.8239113,175565453.03318933,19805.0,6072.0,172.0,Aalborg University,44.9,26.4,25.0,27.7,77.2,89.0,29.4,25.4,79.1,306,L,FC,VH,Public,,0.30658924514011615
DK0006,Technical University of Denmark,Danmarks Tekniske Universitet,2020,DK,Lyngby,746995250.9994365,348647473.9073274,6332805.666604062,305882857.9861018,437144294.491696,516885245.90163934,12670.0,2987.0,336.0,Technical University of Denmark,67.5,44.8,36.2,98.4,90.9,100.0,95.9,60.5,68.0,107,M,FO,VH,Public,,0.23575374901341753
EE0001,University of Tartu,Tartu Ülikool,2020,EE,Tartu,200411426.87,83951229.24,26643594.53,71100744.74000002,102748108.76,0.0,12315.0,2794.0,105.0,University of Tartu,40.9,28.6,23.7,94.6,19.1,62.1,20.8,89.2,64.2,362,M,FC,VH,Public,,0.22687779131140884
EE0002,Tallinn University of Technology,Tallinna Tehnikaülikool,2020,EE,Tallinn,114283414.32,58744433.66,6051558.899999999,36339913.47999999,60864001.51999999,0.0,9338.0,2191.0,64.0,Tallinn University of Technology,27.2,16.2,18.6,33.5,23.5,53.2,26.8,50.5,43.0,635,M,FO,VH,Public,,0.23463268365817092
EE0003,Tallinn University,Tallinna Ülikool,2020,EE,Tallinn,41399712.86,25033548.46,4045510.18,10678764.079999994,28909526.940000013,0.0,6826.0,1577.0,24.0,Tallinn University,,11.1,12.4,12.6,9.9,63.9,30.6,45.6,44.3,901-950,M,FO,VH,Public,,0.23102842074421331
FI0001,University of Helsinki,Helsingin yliopisto,2020,FI,Helsinki,670664125.0,399717000.0,0.0,208480602.0,0.0,371948000.0,26901.0,8296.0,638.0,University of Helsinki,66.1,74.5,37.7,66.9,62.7,78.5,13.1,94.2,95.6,116,L,CO,VH,Public,,0.30839002267573695
FI0002,University of Turku,Turun yliopisto,2020,FI,Turku,266840006.0,168308000.0,0.0,78341062.0,0.0,137051000.0,14491.0,3652.0,191.0,University of Turku,40.6,36.3,20.2,63.2,39.6,46.2,8.9,46.1,74.4,366,L,FC,VH,Public,,0.25201849423780276
FI0004,University of Oulu,Oulun yliopisto,2020,FI,Oulu,250036945.0,150425000.0,0.0,78676405.0,0.0,135922200.0,11659.0,2691.0,146.0,University of Oulu,42.0,23.0,21.8,29.5,74.5,80.9,19.7,30.6,75.2,342,M,FC,VH,Public,,0.23080881722274638
FI0006,University of Jyväskylä,Jyväskylän yliopisto,2020,FI,Jyväskylä,201468961.0,137208333.0,0.0,46022069.0,0.0,99385700.0,12521.0,3279.0,179.0,University of Jyväskylä,32.3,23.4,13.7,87.8,20.8,51.1,6.3,13.9,70.6,498,M,FO,VH,Public,,0.2618800415302292
FI0025,Aalto University,Aalto-yliopisto,2020,FI,Espoo,339182378.0,212388000.0,0.0,95602004.0,0.0,200028600.0,15564.0,3291.0,217.0,Aalto University,66.3,57.5,56.1,35.1,79.6,97.2,60.0,97.1,88.3,114,L,FO,VH,Public,,0.21144949884348496
FI0026,University of Eastern Finland,Itä-Suomen yliopisto,2020,FI,Kuopio,236503882.0,145687186.0,0.0,62146000.0,0.0,122188700.0,14181.0,3064.0,166.0,University of Eastern Finland,28.2,18.9,10.3,45.0,35.3,39.2,12.0,5.6,71.2,604,L,CO,VH,Public,,0.21606374726747055
FI0067,Tampere University,Tampereen yliopisto,2020,FI,Tampere,315251571.0,193149000.0,0.0,93725529.0,0.0,165503200.0,18349.0,4095.0,192.0,Tampere University,36.1,29.2,24.7,24.8,47.7,61.6,13.9,42.1,49.2,423,L,FC,VH,Public,,0.22317292495503843
FR0007,Aix-Marseille University,Aix-Marseille université,2020,FR,Marseille,604056601.0,510126667.0100001,12356810.55,48521080.05,495390996.0,208446.0,73976.0,20805.0,572.0,Aix-Marseille University,35.9,51.0,15.9,11.0,29.7,22.8,29.0,29.0,63.2,428,XL,FC,VH,Public,,0.2812398615767276
FR0157,Université Claude Bernard Lyon 1,Université Claude Bernard - Lyon 1,2020,FR,Villeurbanne,380452718.0,306777071.0,8190559.0,23142123.0,300713645.0,121575.0,46432.0,13619.0,368.0,Université Claude Bernard Lyon 1,28.6,26.1,5.9,9.6,53.0,10.1,20.5,16.0,51.0,587,XL,FC,VH,Public,,0.2933106478290834
FR0366,CY Cergy Paris University,CY Cergy Paris Université,2020,FR,Cergy,167601090.0,129953630.0,8237294.0,10528192.0,135957661.0,3068.0,24597.0,7045.0,57.0,CY Cergy Paris University,,5.2,5.2,64.9,7.4,55.1,59.0,1.3,31.4,951-1000,M,FO,VH,Public,,0.28641704272878804
IE0001,University College Dublin,University College Dublin,2020,IE,Dublin,506560000.0,82266000.0,239923000.0,184371000.0,337901000.0,0.0,25845.0,9435.0,290.0,University College Dublin,66.0,66.5,57.6,19.7,62.0,99.5,89.6,92.2,91.7,118,L,FC,VH,Public,,0.3650609402205456
IE0002,University College Cork,University College Cork,2020,IE,Cork,348171000.0,61331000.0,151242000.0,135598000.0,257553000.0,0.0,21070.0,7655.0,180.0,University College Cork,50.7,43.4,48.1,22.5,52.7,86.2,75.0,49.5,83.8,246,L,FC,VH,Public,,0.363312766967252
IE0006,Dublin City University,Dublin City University,2020,IE,Dublin,213552000.0,43449000.0,100434000.0,69669000.0,175164000.0,0.0,15830.0,5075.0,100.0,Dublin City University,36.7,29.2,37.5,27.8,22.0,80.8,43.2,40.2,79.7,410,L,FC,HI,Public,,0.3205938092229943
IE0007,University of Limerick,University of Limerick,2020,IE,Limerick,237937000.0,55588000.0,112611000.0,69738000.0,161656000.0,0.0,15210.0,5585.0,125.0,University of Limerick,37.4,27.9,36.6,23.6,34.5,93.2,48.4,14.7,75.9,401,L,FC,HI,Public,,0.36719263642340566
LT0001,Vilnius University,Vilniaus universitetas,2020,LT,Vilnius,147564330.0,43809410.0,17728190.0,83725750.0,87801980.0,85230000.0,17538.0,3519.0,114.0,Vilnius University,34.8,26.9,28.0,73.1,6.2,28.4,28.5,91.3,70.3,446,L,FC,HI,Public,,0.2006500171057133
LT0002,Vilnius Gediminas Technical University,Vilniaus Gedimino technikos universitetas,2020,LT,Vilnius,0.0,0.0,5352100.0,18925900.0,0.0,18330000.0,6989.0,1837.0,21.0,Vilnius Gediminas Technical University,,13.8,17.4,38.4,15.6,19.3,54.3,9.3,35.1,851-900,M,SP,VH,Public,,0.2628416082415224
LU0001,University of Luxembourg,Université du Luxembourg,2020,LU,Luxembourg,0.0,0.0,0.0,0.0,0.0,171245357.0,5853.0,1635.0,151.0,University of Luxembourg,39.4,13.2,8.2,87.2,39.5,100.0,100.0,58.8,42.4,381,M,FO,VH,,,0.27934392619169657
LV0001,University of Latvia,Latvijas Universitate,2020,LV,Riga,110675528.0,0.0,14119266.0,16290007.0,48192518.0,26826778.0,14626.0,3105.0,39.0,University of Latvia,,14.5,22.8,10.0,10.4,16.1,10.0,92.0,56.0,801-850,M,FC,VH,Public,,0.2122931765349378
LV0002,Riga Technical University,Rigas Tehniska universitate,2020,LV,Riga,78348367.0,0.0,8553866.0,5404511.0,38011023.0,21654728.0,13491.0,2054.0,30.0,Riga Technical University,,12.6,31.9,31.7,6.0,22.1,84.9,40.5,47.6,761-770,M,CO,VH,Public,,0.15224964791342377
LV0004,Latvia University of Life Sciences and Technologies,Latvia University of Life Sciences and Technologies,2020,LV,Jelgava,35304641.0,0.0,2566837.0,2376359.0,16001049.0,11427912.0,3751.0,688.0,10.0,Latvia University of Life Sciences and Technologies,,7.5,10.1,5.7,7.9,1.8,16.5,17.7,35.8,1201-1400,S,FO,VH,Public,,0.1834177552652626
MT0001,University of Malta,University of Malta (L'Universita` ta` Malta),2020,MT,Msida,100708642.0,81144546.0,9180236.0,7508682.0,0.0,30269555.0,,,44.0,University of Malta,,9.3,7.4,47.7,10.1,33.1,42.2,98.1,38.2,741-750,M,FC,VH,Public,,
NL0003,Delft University of Technology,Technische Universiteit Delft,2020,NL,Delft,790136000.0,468693000.0,77949000.0,198397000.0,522334000.0,0.0,26028.0,6806.0,380.0,Delft University of Technology,84.3,86.2,90.4,49.1,84.6,100.0,94.8,66.0,96.3,47,L,CO,VH,Public,,0.2614876287075457
NL0004,Eindhoven University of Technology,Technische Universiteit Eindhoven,2020,NL,Eindhoven,412600000.0,254600000.0,31200000.0,111100000.0,284200000.0,0.0,12873.0,3258.0,241.0,Eindhoven University of Technology,63.2,40.5,77.3,43.6,81.9,100.0,95.7,33.1,74.1,140,M,FO,VH,Public,,0.25308785830808667
NL0005,University of Twente,Universiteit Twente,2020,NL,Enschede,368600000.0,237400000.0,33100000.0,79800000.0,256000000.0,0.0,12219.0,3270.0,447.0,University of Twente,55.2,29.3,40.5,56.0,77.0,100.0,95.2,32.6,79.6,203,M,CO,VH,Public,,0.26761600785661677
NL0006,University of Groningen,Rijksuniversiteit Groningen,2020,NL,Groningen,716159700.0,443324000.0,79440900.0,136276600.0,525276200.0,0.0,34126.0,10068.0,591.0,University of Groningen,62.5,67.2,41.6,56.2,53.0,95.4,89.4,53.5,67.6,147,XL,FC,VH,Public,,0.29502432163160053
NL0007,Leiden University,Universiteit Leiden,2020,NL,Leiden,707000000.0,405500000.0,76000000.0,190500000.0,501900000.0,0.0,32448.0,9498.0,447.0,Leiden University,65.7,80.4,46.3,30.3,64.9,89.7,68.4,61.2,58.6,119,XL,FC,VH,Public,,0.2927144970414201
NL0008,Maastricht University,Universiteit Maastricht,2020,NL,Maastricht,477286000.0,281063000.0,45555000.0,110987000.0,344454000.0,0.0,19723.0,6715.0,312.0,Maastricht University,51.4,32.8,33.7,18.6,71.7,99.9,100.0,49.6,80.2,239,L,FO,VH,Public,,0.3404654464330984
NL0009,Radboud University Nijmegen,Radboud Universiteit Nijmegen,2020,NL,Nijmegen,614776000.0,337993000.0,45077000.0,191303000.0,464787000.0,0.0,23566.0,6428.0,391.0,Radboud University Nijmegen,47.6,38.6,20.3,34.8,73.2,83.5,30.1,34.9,67.7,279,L,FC,VH,Public,,0.2727658491046423
NL0010,Erasmus University Rotterdam,Erasmus Universiteit Rotterdam,2020,NL,Rotterdam,686200000.0,325800000.0,66700000.0,190400000.0,496600000.0,0.0,30085.0,10554.0,335.0,Erasmus University Rotterdam,63.2,49.4,74.8,20.7,75.7,81.8,81.6,94.0,62.2,140,L,FO,VH,Public,,0.35080604952634203
NL0011,Tilburg University,Universiteit van Tilburg,2020,NL,Tilburg,242434996.0,146307094.0,37950037.0,46563325.0,187644556.0,0.0,19306.0,5967.0,102.0,Tilburg University,41.6,20.5,37.1,16.8,67.1,99.0,77.4,23.1,50.6,347,L,SP,VH,Public,,0.309074898995131
